bgg_id,bgg_name,year_published,play_time,rank,bayes_average,average,users_rated,average_weight,mechanisms,publishers,designers,families,categories
291457,"Gloomhaven: Jaws of the Lion",2020,120,11,8.12574,8.39332,37902,3.6369,"Action Queue|Action Retrieval|Campaign / Battle Card Driven|Communication Limits|Cooperative Game|Critical Hits and Failures|Deck Construction|Grid Movement|Hand Management|Hexagon Grid|Legacy Game|Line of Sight|Multi-Use Cards|Once-Per-Game Abilities|Player Elimination|Role Playing|Scenario / Mission / Campaign Game|Simultaneous Action Selection|Solo / Solitaire Game|Variable Player Powers","Cephalofair Games|Albi|Albi Polska|Arclight Games|CoolPlay|Feuerland Spiele|Galápagos Jogos|Gém Klub Kft.|Hobby World|Korea Boardgames|Lord of Boards|Meanbook Games|Siam Board Games","Isaac Childres","Category: Dungeon Crawler|Components: Book as Board|Components: Miniatures|Components: Multi-Use Cards|Components: Standees|Digital Implementations: Steam|Digital Implementations: TableTop Simulator Mod (TTS)|Game: Gloomhaven|Mechanism: Campaign Games|Mechanism: Legacy|Misc: Forteller Audio Narration|Misc: Limited Replayability|Misc: Watch It Played How To Videos|Players: Games with Solitaire Rules","Adventure|Exploration|Fantasy|Fighting|Miniatures"
220308,"Gaia Project",2017,150,13,8.09683,8.36021,29403,4.3975,"End Game Bonuses|Hexagon Grid|Income|Modular Board|Network and Route Building|Solo / Solitaire Game|Tags|Tech Trees / Tech Tracks|Turn Order: Pass Order|Variable Player Powers|Variable Set-up|Victory Points as a Resource","Feuerland Spiele|Capstone Games|Cranio Creations|DiceTree Games|Edge Entertainment|Game Harbor|Games Factory|Hobby World|IGAMES|Maldito Games|Mandala Jogos|Portal Games|Reflexshop|Super Meeple|テンデイズゲームズ (TendaysGames)|TLAMA games|White Goblin Games|Z-Man Games","Jens Drögemüller|Helge Ostertag","Category: Combinatorial|Components: Control Boards|Components: Map (Interplanetary or Interstellar scale)|Digital Implementations: Board Game Arena|Digital Implementations: Google Play|Digital Implementations: Steam|Digital Implementations: TableTop Simulator Mod (TTS)|Mechanism: Tableau Building|Misc: Made by Panda|Organizations: Automa Factory|Players: Games with Solitaire Rules|Series: Terra Mystica","Civilization|Economic|Miniatures|Science Fiction|Space Exploration|Territory Building"
12333,"Twilight Struggle",2005,180,14,8.05297,8.2368,50519,3.6116,"Action / Event|Advantage Token|Area Majority / Influence|Campaign / Battle Card Driven|Dice Rolling|Events|Hand Management|Simulation|Simultaneous Action Selection|Sudden Death Ending|Tug of War|Variable Set-up","GMT Games|Asterion Press|Bard Centrum Gier|Chrononauts Games|Devir|DiceTree Games|GaGa Games|MINDOK|PHALANX|Pixie Games|Udo Grebe Gamedesign|Wargames Club Publishing","Ananda Gupta|Jason Matthews","Components: Map (Global Scale)|Components: Multi-Use Cards|Continents: Asia|Country: Soviet Union|Country: USA|Digital Implementations: Google Play|Digital Implementations: Steam|Game: Twilight Struggle|History: Cold War|Misc: BGG Hall of Fame|Misc: Dice Tower Hall of Fame|Players: Two-Player Only Games|Players: Wargames with Rules Supporting Only Two Players|Political: NATO|Region: The World|Series: Twilight Struggle|Theme: Nuclear option|War Level of Command: Grand Strategy","Modern Warfare|Political|Wargame"
182028,"Through the Ages: A New Story of Civilization",2015,120,15,8.0356,8.26738,33384,4.4423,"Action Points|Auction / Bidding|Auction: Dutch|Events|Income|Open Drafting|Player Elimination|Tags|Take That","Czech Games Edition|Cranio Creations|Devir|DiceTree Games|Eagle-Gryphon Games|Feelindigo|GaGa Games|Gém Klub Kft.|HaKubia|HeidelBÄR Games|Heidelberger Spieleverlag|IELLO|MINDOK|New Games Order, LLC|One Moment Games|Rebel Sp. z o.o.","Vlaada Chvátil","Digital Implementations: Board Game Arena|Digital Implementations: Google Play|Digital Implementations: Steam|Game: Through the Ages|Historical Figures: Various|Mechanism: Tableau Building|Misc: BGG Hall of Fame|Theme: Colonial","Card Game|Civilization|Economic"
84876,"The Castles of Burgundy",2011,90,16,8.02162,8.14984,65993,2.972,"Delayed Purchase|Dice Rolling|End Game Bonuses|Grid Coverage|Hexagon Grid|Open Drafting|Pattern Building|Tile Placement|Track Movement|Turn Order: Stat-Based|Variable Set-up","alea|Ravensburger|Broadway Toys LTD|Giochi Uniti|Grow Jogos e Brinquedos|Hobby World|Maldito Games|Rebel Sp. z o.o.","Stefan Feld","Animals: Cattle / Cows|Animals: Chickens / Roosters|Animals: Pigs|Animals: Sheep|Country: France|Digital Implementations: Board Game Arena|Digital Implementations: Boiteajeux|Digital Implementations: Google Play|Digital Implementations: Steam|Digital Implementations: Yucata|Game: The Castles of Burgundy|Mechanism: Tableau Building|Misc: BGG Hall of Fame|Misc: Dice Tower Hall of Fame|Misc: Watch It Played How To Videos|Players: Games with expansions that add solo play|Region: Burgundy (France)|Series: Alea Big Box","Animals|Dice|Medieval|Territory Building"
193738,"Great Western Trail",2016,150,17,7.9969,8.16758,42509,3.6982,"Deck, Bag, and Pool Building|Hand Management|Ownership|Set Collection|Track Movement|Variable Set-up","eggertspiele|999 Games|Arclight Games|Broadway Toys LTD|Conclave Editora|Delta Vision Publishing|Ediciones MasQueOca|Gigamic|Korea Boardgames|Lacerta|Ludicus|MINDOK|Pegasus Spiele|Plan B Games|Stronghold Games|uplay.it edizioni|YOKA Games|Zvezda","Alexander Pfister","Animals: Cattle / Cows|Cities: Kansas City (Missouri, USA)|Components: Control Boards|Components: Map (Regional scale)|Components: Wooden pieces & boards|Country: USA|Digital Implementations: Board Game Arena|Game: Great Western Trail|Mechanism: Tableau Building|Series: The Great Designers (Stronghold Games)|States: Texas","American West|Animals|Economic"
169786,"Scythe",2016,115,18,7.9677,8.11988,88807,3.4511,"Area Majority / Influence|Card Play Conflict Resolution|Contracts|End Game Bonuses|Force Commitment|Grid Movement|Hexagon Grid|King of the Hill|Movement Points|Narrative Choice / Paragraph|Solo / Solitaire Game|Take That|Tech Trees / Tech Tracks|Variable Player Powers|Variable Set-up|Victory Points as a Resource|Zone of Control","Stonemaier Games|Albi|Angry Lion Games|Arclight Games|CrowD Games|Delta Vision Publishing|Feuerland Spiele|Fire on Board Jogos|Galápagos Jogos|Geekach Games|Ghenos Games|Korea Boardgames|Ludofy Creative|Maldito Games|Matagot|Morning|PHALANX|Planeta Igor|Playfun Games|Surfin' Meeple China","Jamey Stegmaier","Category: Autonomous simulation|Category: Dized Tutorial|Components:  Meeples|Components: Control Boards|Components: Map (Continental / National scale)|Components: Miniatures|Components: Wooden pieces & boards|Continents: Europe|Crowdfunding: Kickstarter|Decades: The 1920's|Digital Implementations: Board Game Arena|Digital Implementations: Google Play|Digital Implementations: Steam|Digital Implementations: TableTop Simulator Mod (TTS)|Digital Implementations: Tabletopia|Game: Scythe|Mechanism: Tableau Building|Misc: Made by Panda|Misc: Watch It Played How To Videos|Organizations: Automa Factory|Players: Games with Solitaire Rules|Theme: Alternate History|Theme: Dieselpunk|Theme: Mech Warfare","Economic|Fighting|Science Fiction|Territory Building"
246900,"Eclipse: Second Dawn for the Galaxy",2020,200,19,7.96705,8.41558,15607,3.6432,"Alliances|Area Majority / Influence|Area-Impulse|Dice Rolling|Grid Movement|Hexagon Grid|Hot Potato|Income|Modular Board|Passed Action Token|Tech Trees / Tech Tracks|Variable Player Powers","Lautapelit.fi|Arclight Games|CrowD Games|Maldito Games|Matagot|MeepleBR|Pegasus Spiele|sternenschimmermeer|Surfin' Meeple China|TLAMA games|uplay.it edizioni","Touko Tahkokallio","Components: Control Boards|Components: Game Trayz Inside|Components: Map (Interplanetary or Interstellar scale)|Components: Miniatures|Crowdfunding: Kickstarter|Digital Implementations: Steam|Game: Eclipse (Lautapelit.fi)|Mechanism: 4X|Misc: Made by Panda","Civilization|Exploration|Science Fiction|Space Exploration|Territory Building|Wargame"
173346,"7 Wonders Duel",2015,30,20,7.96305,8.08689,102180,2.2244,"End Game Bonuses|Income|Melding and Splaying|Modular Board|Multi-Use Cards|Once-Per-Game Abilities|Open Drafting|Score-and-Reset Game|Set Collection|Sudden Death Ending|Tags|Tech Trees / Tech Tracks|Track Movement|Tug of War|Variable Set-up","Repos Production|ADC Blackfire Entertainment|Asmodee|Asterion Press|Boardgame Space|CoolPlay|Galápagos Jogos|Gém Klub Kft.|Hobby Japan|KADABRA|Kaissa Chess & Games|Korea Boardgames|Lautapelit.fi|Lifestyle Boardgames Ltd|Ludicus|Ponva d.o.o.|Pridemage Games|Rebel Sp. z o.o.|Siam Board Games|Sombreros Production|Ігромаг","Antoine Bauza|Bruno Cathala","Ancient: Babylon|Ancient: Egypt|Ancient: Greece|Ancient: Rome|Constructions: Pyramids|Digital Implementations: Board Game Arena|Digital Implementations: Google Play|Game: 7 Wonders|Game: 7 Wonders Duel|Mechanism: Tableau Building|Misc: Watch It Played How To Videos|Players: Games with expansions that add solo play|Players: Two-Player Only Games|Versions & Editions: Two-Player Versions of More-Player Games","Ancient|Card Game|City Building|Civilization|Economic"
28720,"Brass: Lancashire",2007,120,21,7.96112,8.19691,26144,3.8523,"Hand Management|Income|Loans|Market|Network and Route Building|Tech Trees / Tech Tracks|Turn Order: Stat-Based","Roxley|Warfrog Games|Arclight Games|BoardM Factory|Conclave Editora|CrowD Games|Dexker Games|Eagle-Gryphon Games|FRED Distribution, Inc.|Funforge|Ghenos Games|Giant Roc|Maldito Games|Pegasus Spiele|PHALANX|Rebel Sp. z o.o.|Wargames Club Publishing|White Goblin Games","Martin Wallace","Cities: Manchester (England, UK)|Components: Map (Continental / National scale)|Components: Map (Regional scale)|Country: England|Crowdfunding: Spieleschmiede|Digital Implementations: Apple App Store|Digital Implementations: Steam|Game: Brass|History: Industrial Revolution|Misc: BGG Hall of Fame|Misc: LongPack Games|Theme: Canals","Economic|Educational|Industry / Manufacturing|Post-Napoleonic|Transportation"
167355,"Nemesis",2018,180,23,7.94855,8.25539,34078,3.4818,"Campaign / Battle Card Driven|Cooperative Game|Dice Rolling|Hand Management|Hidden Roles|Interrupts|Modular Board|Player Elimination|Semi-Cooperative Game|Solo / Solitaire Game|Team-Based Game|Traitor Game|Variable Player Powers","Awaken Realms|Rebel Sp. z o.o.|Arclight Games|Asmodee|Cranio Creations|Delta Vision Publishing|Funforge|Galápagos Jogos|Geekach Games|Hobby World|Korea Boardgames|MINDOK|Rebel Studio","Adam Kwapiński","Category: Dungeon Crawler|Components: Dice with Icons|Components: Miniatures|Components: Polyhedral (not D6) dice|Creatures: Aliens / Extraterrestrials|Crowdfunding: Kickstarter|Crowdfunding: Modian|Game: Nemesis|Misc: Eastar Game Manufacturing|Players: Games with Solitaire Rules","Adventure|Horror|Miniatures|Science Fiction"
295770,"Frosthaven",2022,180,22,7.95003,8.78281,8676,4.4129,"Campaign / Battle Card Driven|Communication Limits|Cooperative Game|Deck Construction|Deck, Bag, and Pool Building|Grid Movement|Hand Management|Hexagon Grid|Legacy Game|Modular Board|Multi-Use Cards|Narrative Choice / Paragraph|Once-Per-Game Abilities|Scenario / Mission / Campaign Game|Simultaneous Action Selection|Solo / Solitaire Game|Variable Player Powers","Cephalofair Games|Albi|Albi Polska|CMON Global Limited|Delta Vision Publishing|Feuerland Spiele|Korea Boardgames","Isaac Childres","Category: Dungeon Crawler|Components: Miniatures|Components: Multi-Use Cards|Components: Standees|Crowdfunding: Kickstarter|Digital Implementations: TableTop Simulator Mod (TTS)|Game: Gloomhaven|Mechanism: Campaign Games|Mechanism: Legacy|Misc: Forteller Audio Narration|Players: Games with Solitaire Rules","Adventure|Exploration|Fantasy|Fighting|Miniatures"
266507,"Clank! Legacy: Acquisitions Incorporated",2019,120,24,7.94382,8.51301,10455,2.7389,"Deck, Bag, and Pool Building|Delayed Purchase|End Game Bonuses|Events|Legacy Game|Map Addition|Movement Points|Narrative Choice / Paragraph|Once-Per-Game Abilities|Open Drafting|Pick-up and Deliver|Player Elimination|Point to Point Movement|Push Your Luck|Scenario / Mission / Campaign Game|Set Collection|Variable Player Powers|Variable Set-up","Dire Wolf|Penny Arcade|Renegade Game Studios|Devir|Korea Boardgames|Lavka Games|Lucrum Games|Origames|Schwerkraft-Verlag","Andy Clautice|Paul Dennen","Category: Dungeon Crawler|Components: Miniatures|Creatures: Dragons|Creatures: Goblins|Game: Clank!|Mechanism: Campaign Games|Mechanism: Legacy|Versions & Editions: Legacy Versions of Non-Legacy Games","Adventure|Fantasy|Miniatures"
177736,"A Feast for Odin",2016,120,25,7.94162,8.16478,31053,3.8609,"Automatic Resource Growth|Dice Rolling|Grid Coverage|Income|Push Your Luck|Solo / Solitaire Game|Tile Placement|Turn Order: Pass Order|Worker Placement","Feuerland Spiele|Cranio Creations|Devir|Filosofia Éditions|Game Harbor|Hobby World|Korea Boardgames|Lacerta|Maldito Games|Mandala Jogos|Rebel Sp. z o.o.|Super Meeple|テンデイズゲームズ (TendaysGames)|TLAMA games|White Goblin Games|Z-Man Games","Uwe Rosenberg","Components: Polyhedral (not D6) dice|Components: Polyominoes|Components: Wooden pieces & boards|Country: Iceland|Country: Norway|Digital Implementations: Board Game Arena|Game: A Feast for Odin|Islands: Greenland (Denmark)|Mechanism: Tableau Building|Mythology: Norse|Players: Games with Solitaire Rules|Region: Arctic|Series: Harvest (Uwe Rosenberg)|Theme: Food / Cooking|Theme: Vikings","Economic|Farming|Industry / Manufacturing|Medieval|Puzzle"
124361,"Concordia",2013,100,26,7.93228,8.08409,42875,2.9864,"Action Retrieval|Advantage Token|Auction: Dutch|Deck, Bag, and Pool Building|End Game Bonuses|Hand Management|Hidden Victory Points|Investment|Movement Points|Network and Route Building|Open Drafting|Point to Point Movement|Set Collection|Variable Set-up","PD-Verlag|999 Games|Cranio Creations|CrowD Games|Ediciones MasQueOca|Egmont Polska|Gém Klub Kft.|Heidelberger Spieleverlag|Korea Boardgames|Laguna|Lex Games|New Games Order, LLC|Playfun Games|Rio Grande Games|Ystari Games","Mac Gerdts","Ancient: Rome|Components:  Meeples|Components: Map (Continental / National scale)|Digital Implementations: Apple App Store|Digital Implementations: Boiteajeux|Digital Implementations: Google Play|Digital Implementations: Steam|Game: Concordia|Misc: BGG Hall of Fame|Players: Games with expansions that add solo play|Region: Mediterranean Sea","Ancient|Economic|Nautical"
205637,"Arkham Horror: The Card Game",2016,120,29,7.89836,8.12749,45689,3.5565,"Action Points|Area Movement|Communication Limits|Cooperative Game|Deck Construction|Events|Hand Management|Map Deformation|Modular Board|Player Elimination|Push Your Luck|Role Playing|Scenario / Mission / Campaign Game|Solo / Solitaire Game|Stat Check Resolution|Variable Player Powers","Fantasy Flight Games|Arclight Games|Asmodee|Asterion Press|Edge Entertainment|Galakta|Galápagos Jogos|Heidelberger Spieleverlag|Hobby World|Korea Boardgames|Ігромаг","Nate French|MJ Newman","Collectible: Living Card Game (Fantasy Flight Games)|Game: Arkham Horror – The Card Game|Mechanism: Campaign Games|Players: Games with Solitaire Rules|Series: Arkham Horror Files (Fantasy Flight Games)|Theme: Cthulhu Mythos|Versions & Editions: Card Versions of Non-Card Games","Adventure|Card Game|Collectible Components|Exploration|Horror|Novel-based"
312484,"Lost Ruins of Arnak",2020,120,28,7.9003,8.07189,50551,2.9251,"Area Movement|Contracts|Deck, Bag, and Pool Building|Delayed Purchase|End Game Bonuses|Hand Management|Multi-Use Cards|Once-Per-Game Abilities|Open Drafting|Race|Resource to Move|Solo / Solitaire Game|Track Movement|Turn Order: Progressive|Worker Placement","Czech Games Edition|Brädspel.se|Cranio Creations|Devir|DiceTree Games|Fantasmagoria|GaGa Games|Games4you|Gém Klub Kft.|Goblin Gaming|HeidelBÄR Games|Hobby Japan|IELLO|Kaissa Chess & Games|Lautapelit.fi|Lex Games|Lord of Boards|MINDOK|More Fun Co., Ltd.|One Moment Games|Rebel Sp. z o.o.|Spilbræt.dk|White Goblin Games","Elwen|Mín","Components: Gems/Crystals|Components: Multi-Use Cards|Components: Official Music Soundtrack|Creatures: Monsters|Digital Implementations: Board Game Arena|Digital Implementations: Yucata|Islands: Fictional|Occupation: Adventurer / Explorer|Players: Games with Solitaire Rules|Theme: Archaeology / Paleontology|Theme: Temple|Theme: Tropical|Theme: Tropical Islands","Adventure|Card Game|Exploration|Fantasy"
237182,"Root",2018,90,30,7.88561,8.07172,57983,3.8241,"Action Points|Action Queue|Action Retrieval|Area Majority / Influence|Area Movement|Dice Rolling|Hand Management|Multi-Use Cards|Negotiation|Point to Point Movement|Race|Sudden Death Ending|Take That|Variable Player Powers|Variable Set-up","Leder Games|2Tomatoes Games|Arclight Games|CMON Global Limited|CrowD Games|Delta Vision Publishing|Fox in the Box|Kilogames|Korea Boardgames|MeepleBR|MS Edizioni|Portal Games|Quality Beast|Spielworxx|Tower Tactic Games|YOKA Games","Cole Wehrle","Animals: Beavers|Animals: Birds|Animals: Cats|Animals: Foxes|Animals: Mice|Animals: Rabbits / Hares|Animals: Raccoons|Components:  Meeples|Components: Control Boards|Components: Map (Continental / National scale)|Components: Meeples (Animal) / Animeeples|Components: Polyhedral (not D6) dice|Components: Wooden pieces & boards|Crowdfunding: Kickstarter|Digital Implementations: Apple App Store|Digital Implementations: Google Play|Digital Implementations: Steam|Game: Root|Misc: Made by Panda|Players: Games with expansions that add solo play|Theme: Animal Battles|Theme: Anthropomorphic Animals|Theme: Nature|War Level of Command: Grand Strategy","Animals|Fantasy|Negotiation|Territory Building|Wargame"
